time bp_transducer_voltage trigger
2015-04-14-13-42-890000: 2.21748325696 -1.0
2015-04-14-13-42-906000: 2.20570018631 -1.0
2015-04-14-13-42-937000: 2.18319150008 -1.0
2015-04-14-13-42-937000: 2.1690920993 -1.0
2015-04-14-13-42-953000: 2.14935293821 -1.0
2015-04-14-13-42-968000: 2.13243365728 -1.0
2015-04-14-13-42-984000: 2.11934135656 -1.0
2015-04-14-13-42-000000: 2.10594692583 -1.0
2015-04-14-13-42-015000: 2.0891283549 -1.0
2015-04-14-13-42-031000: 2.08202829951 -1.0
2015-04-14-13-42-046000: 2.072662269 -1.0
2015-04-14-13-42-062000: 2.06425298353 -1.0
2015-04-14-13-42-078000: 2.05876428823 -1.0
2015-04-14-13-42-093000: 2.06047635833 -1.0
2015-04-14-13-42-109000: 2.04521879249 -1.0
2015-04-14-13-42-125000: 2.12115413666 -1.0
2015-04-14-13-42-140000: 2.40958759253 -1.0
2015-04-14-13-42-156000: 2.43934739916 -1.0
2015-04-14-13-42-171000: 2.51719623345 -1.0
2015-04-14-13-42-187000: 2.47323631603 2.47623631603
2015-04-14-13-42-203000: 2.47751649126 -1.0
2015-04-14-13-42-218000: 2.44805881464 -1.0
2015-04-14-13-42-234000: 2.43894455914 -1.0
2015-04-14-13-42-250000: 2.40037262702 -1.0
2015-04-14-13-42-265000: 2.33883881364 -1.0
2015-04-14-13-42-281000: 2.25122110882 -1.0
2015-04-14-13-42-296000: 2.25192607886 -1.0
2015-04-14-13-42-312000: 2.22881313258 -1.0
2015-04-14-13-42-328000: 2.22503650738 -1.0
2015-04-14-13-42-343000: 2.20650586636 -1.0
2015-04-14-13-42-359000: 2.181731205 -1.0
2015-04-14-13-42-375000: 2.1690920993 -1.0
2015-04-14-13-42-390000: 2.15343169344 -1.0
2015-04-14-13-42-406000: 2.13424643738 -1.0
2015-04-14-13-42-421000: 2.12523289189 -1.0
2015-04-14-13-42-437000: 2.11491011632 -1.0
2015-04-14-13-42-453000: 2.1017674606 -1.0
2015-04-14-13-42-484000: 2.0964298303 -1.0
2015-04-14-13-42-484000: 2.09260285009 -1.0
2015-04-14-13-42-500000: 2.08298504456 -1.0
2015-04-14-13-42-531000: 2.07427362909 -1.0
2015-04-14-13-42-546000: 2.06923812881 -1.0
2015-04-14-13-42-562000: 2.08127297447 -1.0
2015-04-14-13-42-578000: 2.40555919231 -1.0
2015-04-14-13-42-593000: 2.47655974621 -1.0
2015-04-14-13-42-609000: 2.51019688806 -1.0
2015-04-14-13-42-625000: 2.50934085301 -1.0
2015-04-14-13-42-640000: 2.51150611813 2.51450611813
2015-04-14-13-42-656000: 2.48038672642 -1.0
2015-04-14-13-42-671000: 2.45485674002 -1.0
2015-04-14-13-42-687000: 2.43209627877 -1.0
2015-04-14-13-42-703000: 2.38748174631 -1.0
2015-04-14-13-42-718000: 2.28057807543 -1.0
2015-04-14-13-42-734000: 2.29115262601 -1.0
2015-04-14-13-42-750000: 2.25963039428 -1.0
2015-04-14-13-42-765000: 2.24079762324 -1.0
2015-04-14-13-42-781000: 2.23354650285 -1.0
2015-04-14-13-42-796000: 2.2073115464 -1.0
2015-04-14-13-42-812000: 2.18258724004 -1.0
2015-04-14-13-42-828000: 2.15897074374 -1.0
2015-04-14-13-42-843000: 2.15030968327 -1.0
2015-04-14-13-42-859000: 2.13867767763 -1.0
2015-04-14-13-42-875000: 2.12306762677 -1.0
2015-04-14-13-42-890000: 2.11485976132 -1.0
2015-04-14-13-42-906000: 2.10252278564 -1.0
2015-04-14-13-42-921000: 2.09310640012 -1.0
2015-04-14-13-42-937000: 2.08716450979 -1.0
2015-04-14-13-42-953000: 2.08172616949 -1.0
2015-04-14-13-42-968000: 2.07719421925 -1.0
2015-04-14-13-42-984000: 2.06782818873 -1.0
2015-04-14-13-42-000000: 2.3600382698 -1.0
2015-04-14-13-42-015000: 2.49282441211 -1.0
2015-04-14-13-42-031000: 2.47942998137 -1.0
2015-04-14-13-42-046000: 2.52631048895 -1.0
2015-04-14-13-42-062000: 2.51719623345 2.52019623345
2015-04-14-13-42-078000: 2.49705423234 -1.0
2015-04-14-13-42-093000: 2.49584571227 -1.0
2015-04-14-13-42-109000: 2.4582305252 -1.0
2015-04-14-13-42-125000: 2.41683871293 -1.0
2015-04-14-13-42-156000: 2.34518354399 -1.0
2015-04-14-13-42-156000: 2.28465683066 -1.0
2015-04-14-13-42-171000: 2.27569364016 -1.0
2015-04-14-13-42-203000: 2.24482602347 -1.0
2015-04-14-13-42-218000: 2.23198549776 -1.0
2015-04-14-13-42-234000: 2.20378669621 -1.0
2015-04-14-13-42-250000: 2.18752203031 -1.0
2015-04-14-13-42-265000: 2.16738002921 -1.0
2015-04-14-13-42-281000: 2.15030968327 -1.0
2015-04-14-13-42-296000: 2.14346140289 -1.0
2015-04-14-13-42-312000: 2.13162797724 -1.0
2015-04-14-13-42-328000: 2.11843496651 -1.0
2015-04-14-13-42-343000: 2.10781006093 -1.0
2015-04-14-13-42-359000: 2.09980361549 -1.0
2015-04-14-13-42-375000: 2.08842338486 -1.0
2015-04-14-13-42-390000: 2.07794954429 -1.0
2015-04-14-13-42-406000: 2.07608640918 -1.0
2015-04-14-13-42-421000: 2.06324588348 -1.0
2015-04-14-13-42-437000: 2.19618309079 -1.0
2015-04-14-13-42-453000: 2.43038420867 -1.0
2015-04-14-13-42-468000: 2.45032478977 -1.0
2015-04-14-13-42-484000: 2.50898836799 -1.0
2015-04-14-13-42-500000: 2.50108263256 2.50408263256
2015-04-14-13-42-515000: 2.48451583665 -1.0
2015-04-14-13-42-531000: 2.45611561509 -1.0
